,c ,d ,e ,f ,g ,h,i,j,k,l,m,n,o,p,q
1886,b,c ,d ,e ,f ,g ,h,i,j,k,l,m,n,o,p,q
1887,b,c ,d ,e ,f ,g ,h,i,j,k,l,m,n,o,p,q
1888,b,c ,d ,e ,f ,g ,h,i,j,k,l,m,n,o,p,q
1889,b,c ,d ,e ,f ,g ,h,i,j,k,l,m,n,o,p,q
1890,b,c ,d ,e ,f ,g ,h,i,j,k,l,m,n,o,p,q
1891,b,c ,d ,e ,f ,g ,h,i,j,k,l,m,n,o,p,q
1892,b,c ,d ,e ,f ,g ,h,i,j,k,l,m,n,o,p,q
1893,b,c ,d ,e ,f ,g ,h,i,j,k,l,m,n,o,p,q
1894,b,c ,d ,e ,f ,g ,h,i,j,k,l,m,n,o,p,q
1895,b,c ,d ,e ,f ,g ,h,i,j,k,l,m,n,o,p,q
1896,b,c ,d ,e ,f ,g ,h,i,j,k,l,m,n,o,p,q
1897,b,c ,d ,e ,f ,g ,h,i,j,k,l,m,n,o,p,q
1898,b,c ,d ,e ,f ,g ,h,i,j,k,l,m,n,o,p,q
1899,b,c ,d ,e ,f ,g ,h,i,j,k,l,m,n,o,p,q
1900,b,c ,d ,e ,f ,g ,h,i,j,k,l,m,n,o,p,q
1901,b,c ,d ,e ,f ,g ,h,i,j,k,l,m,n,o,p,q
1902,b,c ,d ,e ,f ,g ,h,i,j,k,l,m,n,o,p,q
1903,b,c ,d ,e ,f ,g ,h,i,j,k,l,m,n,o,p,q
1904,b,c ,d ,e ,f ,g ,h,i,j,k,l,m,n,o,p,q
1905,b,c ,d ,e ,f ,g ,h,i,j,k,l,m,n,o,p,q
1906,b,c ,d ,e ,f ,g ,h,i,j,k,l,m,n,o,p,q
1907,b,c ,d ,e ,f ,g ,h,i,j,k,l,m,n,o,p,q
1908,b,c ,d ,e ,f ,g ,h,i,j,k,l,m,n,o,p,q
1909,b,c ,d ,e ,f ,g ,h,i,j,k,l,m,n,o,p,q
1910,b,c ,d ,e ,f ,g ,h,i,j,k,l,m,n,o,p,q
1911,b,c ,d ,e ,f ,g ,h,i,j,k,l,m,n,o,p,q
1912,b,c ,d ,e ,f ,g ,h,i,j,k,l,m,n,o,p,q
1913,b,c ,d ,e ,f ,g ,h,i,j,k,l,m,n,o,p,q
1914,b,c ,d ,e ,f ,g ,h,i,j,k,l,m,n,o,p,q
1915,b,c ,d ,e ,f ,g ,h,i,j,k,l,m,n,o,p,q
1916,b,c ,d ,e ,f ,g ,h,i,j,k,l,m,n,o,p,q
1917,b,c ,d ,e ,f ,g ,h,i,j,k,l,m,n,o,p,q
1918,b,c ,d ,e ,f ,g ,h,i,j,k,l,m,n,o,p,q
1919,b,c ,d ,e ,f ,g ,h,i,j,k,l,m,n,o,p,q
1920,b,c ,d ,e ,f ,g ,h,i,j,k,l,m,n,o,p,q
1921,b,c ,d ,e ,f ,g ,h,i,j,k,l,m,n,o,p,q
1922,b,c ,d ,e ,f ,g ,h,i,j,k,l,m,n,o,p,q
1923,b,c ,d ,e ,f ,g ,h,i,j,k,l,m,n,o,p,q
1924,b,c ,d ,e ,f ,g ,h,i,j,k,l,m,n,o,p,q
1925,b,c ,d ,e ,f ,g ,h,i,j,k,l,m,n,o,p,q
1926,b,c ,d ,e ,f ,g ,h,i,j,k,l,m,n,o,p,q
1927,b,c ,d ,e ,f ,g ,h,i,j,k,l,m,n,o,p,q
1928,b,c ,d ,e ,f ,g ,h,i,j,k,l,m,n,o,p,q
1929,b,c ,d ,e ,f ,g ,h,i,j,k,l,m,n,o,p,q
1930,b,c ,d ,e ,f ,g ,h,i,j,k,l,m,n,o,p,q
